Date,Combined_Portfolio,ISONE
2017-03-01,7236.9220000000005,7236.9220000000005
2017-03-02,3926.8039999999996,3926.8039999999996
2017-03-03,4019.1059999999998,4019.1059999999998
2017-03-04,6512.394,6512.394
2017-03-05,3351.698,3351.698
2017-03-06,-130.62000000000003,-130.62000000000003
2017-03-07,-1041.9640000000002,-1041.9640000000002
2017-03-08,-883.9179999999998,-883.9179999999998
2017-03-09,4661.65,4661.65
2017-03-10,685.132,685.132
2017-03-11,1614.914,1614.914
2017-03-12,2218.3,2218.3
2017-03-13,641.1299999999999,641.1299999999999
2017-03-14,8933.162,8933.162
2017-03-15,-600.4180000000003,-600.4180000000003
2017-03-16,448.7559999999999,448.7559999999999
2017-03-17,2061.6259999999997,2061.6259999999997
2017-03-18,397.6840000000001,397.6840000000001
2017-03-19,-1294.6780000000003,-1294.6780000000003
2017-03-20,5378.352000000001,5378.352000000001
2017-03-21,4110.302,4110.302
2017-03-22,8597.637999999999,8597.637999999999
2017-03-23,3322.942,3322.942
2017-03-24,337.092,337.092
2017-03-25,-5203.197999999999,-5203.197999999999
2017-03-26,-2131.6119999999996,-2131.6119999999996
2017-03-27,-3291.3719999999994,-3291.3719999999994
2017-03-28,-665.4900000000001,-665.4900000000001
2017-03-29,508.2420000000001,508.2420000000001
2017-03-30,2288.846,2288.846
2017-03-31,1580.264,1580.264
2017-04-01,-8275.064000000002,-8275.064000000002
2017-04-02,-417.80199999999996,-417.80199999999996
2017-04-03,2371.306,2371.306
2017-04-04,4470.661999999999,4470.661999999999
2017-04-05,-6647.3539999999975,-6647.3539999999975
2017-04-06,1755.4039999999995,1755.4039999999995
2017-04-07,9980.655999999999,9980.655999999999
2017-04-08,3994.3959999999997,3994.3959999999997
2017-04-09,2293.088000000001,2293.088000000001
2017-04-10,9555.489999999998,9555.489999999998
2017-04-11,2780.2600000000007,2780.2600000000007
2017-04-12,1400.0559999999996,1400.0559999999996
2017-04-13,-592.7599999999996,-592.7599999999996
2017-04-14,513.338,513.338
2017-04-15,3263.2039999999997,3263.2039999999997
2017-04-16,3733.688,3733.688
2017-04-17,594.5659999999997,594.5659999999997
